country,slug,visa_type,title,category,resource_status,source_org,source_type,url,official_page,local_path,notes
Sweden,sweden,Official visit Schengen,Sweden Ethiopia Official Visit Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Sweden,vfs,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/pdf/official-visa-checklist-2022.pdf,https://visa.vfsglobal.com/one-pager/sweden/ethiopia/english/,/forms/sweden/official-visa-checklist-2022.pdf,Ethiopia-specific VFS checklist.
Austria,austria,Schengen short stay,Austria Ethiopia Checklist PDF,document_checklist,downloadable_official_pdf,VFS Global / Austrian Embassy Addis Ababa,vfs,https://visa.vfsglobal.com/one-pager/austria/ethiopia/english/pdf/austria-checklist.pdf,https://visa.vfsglobal.com/one-pager/austria/ethiopia/english/,/forms/austria/austria-checklist.pdf,Ethiopia-specific VFS checklist.
Austria,austria,Visa by categories,Austria Ethiopia Visa by Categories PDF,requirements_pdf,downloadable_official_pdf,VFS Global / Austrian Embassy Addis Ababa,vfs,https://visa.vfsglobal.com/one-pager/austria/ethiopia/english/pdf/visa-by-categories-austria.pdf,https://visa.vfsglobal.com/one-pager/austria/ethiopia/english/,/forms/austria/visa-by-categories-austria.pdf,Ethiopia-specific category requirements PDF.
Belgium,belgium,All Belgium visas,Belgium Addis Ababa visa official page,requirements_page,official_page,FPS Foreign Affairs Belgium / Embassy in Ethiopia,embassy,https://ethiopia.diplomatie.belgium.be/en/travel-belgium/visa-belgium,https://ethiopia.diplomatie.belgium.be/en/travel-belgium/visa-belgium,,Use as official hub; many Belgium applications use VisaOnWeb/TLS pages.
Belgium,belgium,Ethiopia restrictions notice,Belgium/TLS Ethiopia Article 25a notice PDF,requirements_pdf,downloadable_official_pdf,TLScontact Belgium,tls,https://storage.visas-be.tlscontact.com/visa-be/art-25a-tls-1-.pdf,https://ethiopia.diplomatie.belgium.be/en/travel-belgium/visa-belgium,/forms/belgium/art-25a-tls-1.pdf,Ethiopia-specific Schengen restriction/45-day warning.
India,india,All visa categories,Embassy of India Addis Ababa Visa Services and Requirement PDF,requirements_pdf,downloadable_official_pdf,Embassy of India Addis Ababa,embassy,https://eoiaddisababa.gov.in/wp-content/uploads/2025/10/Visa-Services-and-requirement.pdf,https://eoiaddisababa.gov.in/visa-services-requirement/,/forms/india/visa-services-and-requirement.pdf,Includes tourist/business/medical/student/transit/journalist/conference and more.
India,india,All visa categories,Indian Visa Online portal,online_application_portal,official_online_portal,Government of India,government,https://indianvisaonline.gov.in/visa/,https://indianvisaonline.gov.in/visa/,,Applicants complete online form then print/sign and submit per embassy guidance.
India,india,Fees,India visa/passport/consular fee schedule PDF,fee_page,downloadable_official_pdf,Embassy of India Addis Ababa,embassy,https://eoiaddisababa.gov.in/wp-content/uploads/2025/10/Visa-passport-consular-fee-w.e.f-01.04.2025.pdf,https://eoiaddisababa.gov.in/,/forms/india/visa-passport-consular-fee-2025.pdf,Fee PDF; verify current fee date on embassy website before publishing.
China,china,All mainland China categories,China Visa Application Service Center Addis Ababa homepage,online_application_portal,official_online_portal,China Visa Application Service Center Addis Ababa,visa_center,https://www.visaforchina.cn/ADD3_EN/,https://www.visaforchina.cn/ADD3_EN/,,"Portal for regular passport applicants; category pages/material lists are online, not separate PDFs."
China,china,L/Q/S invitation,China Visa Center Addis Invitation Letter Template PDF,supporting_document_guide,downloadable_official_pdf,China Visa Application Service Center Addis Ababa,visa_center,https://www.visaforchina.cn/ADD3_EN/upload/20240425/b96f5f66e5b64de6a1b5cd0f2d1c62c8.pdf,https://www.visaforchina.cn/ADD3_EN/qianzhengyewu/qianzhengxinxi/ziliaoxiazai,/forms/china/china-invitation-letter-template.pdf,Official downloadable invitation letter template exposed by Addis downloads page.
China,china,Macao SAR,Macao SAR Visa Application Form PDF,application_form,downloadable_official_pdf,China Visa Application Service Center Addis Ababa,visa_center,https://www.visaforchina.cn/ADD3_EN/upload/20240425/7ea2ef01e3ff4922b1d54bed5a927b06.pdf,https://www.visaforchina.cn/ADD3_EN/qianzhengyewu/qianzhengxinxi/ziliaoxiazai,/forms/china/macao-sar-visa-application.pdf,Official downloadable file from Addis downloads page.
China,china,Hong Kong Visit/Transit,Hong Kong Visit/Transit Application Form PDF,application_form,downloadable_official_pdf,China Visa Application Service Center Addis Ababa,visa_center,https://www.visaforchina.cn/ADD3_EN/upload/20240425/,https://www.visaforchina.cn/ADD3_EN/qianzhengyewu/qianzhengxinxi/ziliaoxiazai,/forms/china/hong-kong-visit-transit-application.pdf,Direct filename must be verified from downloads page before automated download.
United Arab Emirates,uae,Visa center / all visas,UAE Embassy Addis Ababa Visa Center page,requirements_page,official_page,UAE Ministry of Foreign Affairs / Embassy Addis Ababa,embassy,https://www.mofa.gov.ae/en/missions/addis-ababa/services/visas,https://www.mofa.gov.ae/en/missions/addis-ababa/services/visas,,Contains UAE visa center address/contact in Addis Ababa; many UAE visitor visas use sponsor/airline/authorized channel.
United Arab Emirates,uae,Dubai/UAE via DVPC,DVPC UAE Visa Application Form PDF,application_form,downloadable_official_pdf,VFS Global / DVPC,vfs,https://www.vfsglobal.com/one-pager/uae/uae/english/pdf/DVPC-UAE-VAF-Latest.pdf,https://www.vfsglobal.com/,/forms/uae/dvpc-uae-vaf-latest.pdf,"Use with warning: applies to DVPC/Emirates-FlyDubai channel, not all UAE visas."
Saudi Arabia,saudi-arabia,Visa services,Saudi visa official platform / KSA Visa,online_application_portal,official_online_portal,Kingdom of Saudi Arabia,government,https://ksavisa.sa/,https://ksavisa.sa/,,Portal-first; do not publish old PDFs as current without embassy verification.
Saudi Arabia,saudi-arabia,Business/Visit form,Saudi Embassy Business Visa Application PDF - NEEDS VERIFICATION,application_form,needs_verification,Embassy/agent PDF mirror,other_official,https://www.pvsglobal.com/documents/GBR/PDF/visa-applications/Saudi-App-Form.pdf,https://ksavisa.sa/,/forms/saudi-arabia/saudi-app-form-needs-verification.pdf,Do not publish until checked with Saudi Embassy Addis/official KSA Visa; include in internal queue only.
Qatar,qatar,Official / Business consular visa,Qatar Embassy Addis Ababa Consular Services page,requirements_page,official_page,Embassy of Qatar Addis Ababa,embassy,https://addisababa.embassy.qa/en/services/consular-services,https://addisababa.embassy.qa/en/services/consular-services,,Official/business visa service instructions; no static public PDF found.
Qatar,qatar,Contact,Qatar Embassy Addis Ababa contact page,embassy_contact_page,official_page,Embassy of Qatar Addis Ababa,embassy,https://addisababa.embassy.qa/en/the-embassy/contact,https://addisababa.embassy.qa/en/the-embassy/contact,,Use in embassy directory.
Turkey,turkey,e-Visa,Türkiye official e-Visa portal,online_application_portal,official_online_portal,Republic of Türkiye Ministry of Foreign Affairs,government,https://www.evisa.gov.tr/,https://www.evisa.gov.tr/,,Use for eligible e-Visa cases; otherwise sticker visa pre-application.
Turkey,turkey,Sticker visa,Türkiye sticker visa pre-application portal,online_application_portal,official_online_portal,Republic of Türkiye Ministry of Foreign Affairs,government,https://www.visa.gov.tr/,https://www.visa.gov.tr/,,Official pre-application system for sticker visas.
Turkey,turkey,Embassy guidance,Turkish Embassy Addis Ababa visa service announcement,requirements_page,official_page,Turkish Embassy Addis Ababa,embassy,https://addisababa-emb.mfa.gov.tr/Mission/ShowAnnouncement/352703,https://addisababa-emb.mfa.gov.tr/,,Embassy announcement about visa procedures.
Thailand,thailand,Tourist / Transit / Non-Immigrant / Official,Thailand MFA Visa Application Form PDF,application_form,downloadable_official_pdf,Ministry of Foreign Affairs Thailand,government,https://image.mfa.go.th/mfa/0/xzossgF56p/Visa_Application_form_OK.pdf,https://www.thaievisa.go.th/,/forms/thailand/visa-application-form.pdf,Generic Thai MFA application form; Thailand eVisa may be online depending on jurisdiction.
Thailand,thailand,e-Visa,Royal Thai Embassy eVisa application portal,online_application_portal,official_online_portal,Royal Thai Embassy / Thai eVisa,government,https://application.royalthaiembassy.com/,https://application.royalthaiembassy.com/,,Use for online eVisa flow if applicable.
South Africa,south-africa,Visa / Transit Visa,South Africa BI-84 Application for Visa or Transit Visa PDF,application_form,downloadable_official_pdf,South Africa Department of Home Affairs / DIRCO mirror,government,https://dirco1.azurewebsites.net/tunis/documents/visa_and_transit_visa_form_bi_84.pdf,https://www.dha.gov.za/,/forms/south-africa/bi-84-visa-transit-visa-form.pdf,Use official government/mission PDF mirror; verify with South African Embassy Addis before publishing.
Kenya,kenya,eTA,Kenya official eTA portal,online_application_portal,official_online_portal,Government of Kenya,government,https://etakenya.go.ke/,https://etakenya.go.ke/,,Kenya uses electronic Travel Authorisation; no static form.
Kenya,kenya,eTA requirements,Kenya eTA how to apply page,requirements_page,official_page,Government of Kenya,government,https://etakenya.go.ke/how-to-apply,https://etakenya.go.ke/how-to-apply,,"Lists required passport, photo/selfie, contacts, itinerary, accommodation, payment method."
Kenya,kenya,Embassy Addis visa services,Kenya Embassy Addis Ababa Visa Services page,requirements_page,official_page,Kenya Embassy Addis Ababa,embassy,https://www.kenyaembassyaddis.org/services/consular-services/visa-services/,https://www.kenyaembassyaddis.org/services/consular-services/visa-services/,,Embassy page points users to eTA online.
Egypt,egypt,Egypt eVisa,Egypt official eVisa portal,online_application_portal,official_online_portal,Government of Egypt,government,https://www.visa2egypt.gov.eg/,https://www.visa2egypt.gov.eg/,,Use portal button; Ethiopia eligibility must be verified for each applicant.
Egypt,egypt,Sticker visa application,Egypt visa application form PDF - NEEDS ADDIS VERIFICATION,application_form,needs_verification,Egypt consular PDF mirror,other_official,https://abcc.org.uk/wp-content/uploads/2022/03/Egypt-Visa-application-form.pdf,https://www.visa2egypt.gov.eg/,/forms/egypt/egypt-visa-application-form-needs-verification.pdf,Do not publish until Embassy of Egypt Addis confirms current form.
Japan,japan,General visa application,Japan Visa Application Form PDF,application_form,downloadable_official_pdf,Ministry of Foreign Affairs Japan,government,https://www.mofa.go.jp/mofaj/toko/visa/pdfs/application1.pdf,https://www.et.emb-japan.go.jp/visa_e.htm,/forms/japan/japan-visa-application-form.pdf,Embassy of Japan Addis visa page links application forms.
Japan,japan,Visa information,Embassy of Japan Addis Ababa visa information page,requirements_page,official_page,Embassy of Japan Addis Ababa,embassy,https://www.et.emb-japan.go.jp/visa_e.htm,https://www.et.emb-japan.go.jp/visa_e.htm,,Official country page for Ethiopia.
South Korea,south-korea,General visa application,Korea Visa Portal / Embassy Ethiopia page,online_application_portal,official_online_portal,Embassy of Korea Ethiopia / Korea Visa Portal,embassy,https://et.mofa.go.kr/et-en/index.do,https://et.mofa.go.kr/et-en/index.do,,Use embassy page and visa.go.kr application process; find current Form No.17 during build.
South Korea,south-korea,C-3-1 Visiting visa,Korea visiting visa checklist PDF - IOM/KVAC Ethiopia source,document_checklist,downloadable_official_pdf,Korea Visa Application Center / IOM,visa_center,https://kor.blsinternational.com/assets/pdf/Visiting-visa.pdf,https://www.visaforkorea.eu/regions/africa-and-middle-east/ethiopia,/forms/south-korea/visiting-visa-checklist.pdf,Verify current Ethiopia KVAC/BLS/IOM provider before publishing.
Malaysia,malaysia,eVisa,Malaysia official eVisa portal,online_application_portal,official_online_portal,Immigration Department of Malaysia,government,https://malaysiavisa.imi.gov.my/evisa/,https://malaysiavisa.imi.gov.my/evisa/,,Malaysia Addis Embassy says visa applications must be submitted online.
Malaysia,malaysia,For foreigners,Embassy of Malaysia Addis Ababa for foreigners page,requirements_page,official_page,Embassy of Malaysia Addis Ababa,embassy,https://www.kln.gov.my/web/eth_addis-ababa/for-foreigners,https://www.kln.gov.my/web/eth_addis-ababa/for-foreigners,,States applications via online system; use portal button.
Australia,australia,All visa applications,Australian Embassy Ethiopia visas and citizenship page,requirements_page,official_page,Australian Embassy Ethiopia / Department of Home Affairs,embassy,https://ethiopia.embassy.gov.au/adba/visiting_australia.html,https://ethiopia.embassy.gov.au/adba/visiting_australia.html,,Embassy says it does not process visa applications; Home Affairs manages visas.
Australia,australia,PDF forms,Australian Department of Home Affairs PDF forms page,requirements_page,official_page,Australian Department of Home Affairs,government,https://immi.homeaffairs.gov.au/help-support/departmental-forms/pdf-forms,https://immi.homeaffairs.gov.au/help-support/departmental-forms/pdf-forms,,Use official forms page instead of old third-party PDF mirrors.
Australia,australia,Visitor 600 Business Visitor,Form 1415 Application for Visitor visa - Business Visitor stream PDF,application_form,downloadable_official_pdf,Australian Department of Home Affairs,government,https://immi.homeaffairs.gov.au/form-listing/forms/1415.pdf,https://immi.homeaffairs.gov.au/help-support/departmental-forms/pdf-forms,/forms/australia/1415-business-visitor.pdf,"Current official PDF found; tourist stream often online/ImmiAccount, verify before publish."
Russia,russia,All visas from Ethiopia,Russian Embassy Ethiopia visa page,online_application_portal,official_online_portal,Embassy of Russia in Ethiopia,embassy,https://ethiopia.mid.ru/en/consular_section/visa_ethiopia/,https://ethiopia.mid.ru/en/consular_section/visa_ethiopia/,,Embassy says applications in Ethiopia shall be prepared using Electronic Visa Application Form.
Russia,russia,Student visa,Russian Embassy Ethiopia student visa page,requirements_page,official_page,Embassy of Russia in Ethiopia,embassy,https://ethiopia.mid.ru/en/consular_section/visa_ethiopia/student_visa/,https://ethiopia.mid.ru/en/consular_section/visa_ethiopia/student_visa/,,Country-specific page for student visas.
